SKU,Barcode,MPN,Product Title,Product Description,Variant Image,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Cost per item,Compare At Price,Price,Inventory Quantity,Entrenue qty available,Inventory Quantity,Fluid Oz,Vendor,Material,Color,Main Category,Sub-Category,Size,Fulfillment Service,Inventory tracked,Image URL,Variant Inventory Policy,Variant Fulfillment Service,Requires Shipping,Variant Requires Shipping
46103,657447092084,NSN-0301-23,Tinglers Vibrating Plug I Black,"The plug provides intense and strategically placed vibration exactly where you want it most. The firm silicone body yields to every body type, ensuring a comfortable fit. The flat skinny base fits snugly along your bodys curves, making it perfect for coupleft.s play. The controller features two buttons for easy on/off operation and 3 levels of intensity control. Requires 2 AAA batteries, not included.",https://cdn.shopify.com/s/files/1/0602/8132/3620/files/46103A.jpg?v=1714498075,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/46103B.jpg?v=1714498076,,,,,,,,,22.45,44.9,0,16,0,16,,NS Novelties,Silicone,Black,,"Plugs and Probes,Vibrating Anal Toys",,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/files/46103A.jpg?v=1714498075,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/46103B.jpg?v=1714498076,",deny,manual,TRUE,TRUE
46112,657447091995,NSN-0405-13,Colours Pleasures 5 in. Dildo Black,"Colours realistic dongs are made from the best medical grade, body-safe silicone available. Non-porous for easy worry-free cleaning, these dongs are velvety soft to the touch, yet firm for effortless penetration. These naturally sized five-inch dongs are slightly curved and heavily veined, providing immeasurable pleasure. The versatile suction cup base is super strong for creative exploration.",https://cdn.shopify.com/s/files/1/0602/8132/3620/files/46112A.jpg?v=1714498084,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/46112B.jpg?v=1714498084,,,,,,,,,16.6,31.7,0,10,0,10,,NS Novelties,Silicone,Black,,"Realistic,Silicone Dildos and Dongs,Strap-on Compatible",,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/files/46112A.jpg?v=1714498084,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/46112B.jpg?v=1714498084,",deny,manual,TRUE,TRUE
51366,657447093869,NSN-0405-15,Colours Pleasures 5 in. Dildo Purple,"Realistic dongs are made from medical grade, body-safe silicone. Non-porous for easy worry-free cleaning, these fun dongs are velvety soft to the touch, yet firm for effortless penetration. These naturally sized 5 inch dongs are slightly curved and heavily veined providing immeasurable pleasure. The versatile suction cup base is super strong for creative exploration.",https://cdn.shopify.com/s/files/1/0602/8132/3620/files/51366A.jpg?v=1714500110,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/51366B.jpg?v=1714500110,,,,,,,,,16.6,29.9,0,6,0,6,,NS Novelties,Silicone,Purple,,"Colored,Realistic,Silicone Dildos and Dongs",,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/files/51366A.jpg?v=1714500110,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/51366B.jpg?v=1714500110,",deny,manual,TRUE,TRUE
51367,657447093876,NSN-0405-17,Colours Pleasures 5 in. Dildo Blue,"Realistic dongs are made from medical grade, body-safe silicone. Non-porous for easy worry-free cleaning, these fun dongs are velvety soft to the touch, yet firm for effortless penetration. These naturally sized 5 inch dongs are slightly curved and heavily veined providing immeasurable pleasure. The versatile suction cup base is super strong for creative exploration.",https://cdn.shopify.com/s/files/1/0602/8132/3620/files/51367A.jpg?v=1714500114,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/51367B.jpg?v=1714500114,,,,,,,,,16.6,31.7,0,9,0,9,,NS Novelties,Silicone,Blue,,"Colored,Realistic,Silicone Dildos and Dongs",,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/files/51367A.jpg?v=1714500114,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/51367B.jpg?v=1714500114,",deny,manual,TRUE,TRUE
52157,5060108815734,FS-54811,Fifty Shades of Grey Greedy Girl Rechargeable Silicone G-Spot Rabbit Vibrator Black,"Silicone rabbit vibrator features 3 speeds and 9 patterns of vibration in the shaft, and 3 speeds in the ears, for a total of 36 possible combinations. Curved shaft stimulates the G-spot. Whisper quiet and waterproof. Recharge via USB for 120 minutes to provide 60 minutes of stimulation. Includes a luxurious satin storage bag. Measures 9.5 in. long, 5.25 in. insertable, 2 in. base diameter.",https://cdn.shopify.com/s/files/1/0602/8132/3620/products/52157.jpg?v=1674808353,,,,,,,,,,53,99.99,0,34,26,60,,Fifty Shades of Grey,Silicone,Black,,Dual Action and Rabbits,,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/products/52157.jpg?v=1674808353,,",deny,manual,TRUE,TRUE
53040,796494406618,40661,JO H2O Gel Water-Based Personal Lubricant 4 oz.,"JO H2O Gel Original is our thickest lubricant and has the feel of a water-based lube, but with a thicker, plush texture that stays put wherever itft.s placed. Great for solo and toy play, its sensual, comforting glide and silky-smooth feel are perfect for any intimate moment. And when youft.re done, it cleans off easily and leaves your skin feeling soft and moisturized. Thick, Plush Texture Formulated With Plant-Based Glycerin Easy To Clean Non-Staining Moisturizing & Satisfying Great for Solo or Partner Play Compatible with Most Toys Not Compatible with Polyurethane Condoms Made in the USA FDA Licensed ISO Certified 100% Pleasure Guarantee Ingredients: Water (Aqua), Glycerin, Hydroxyethylcellulose, Acrylates/C10-30 Alkyl Acrylates Crosspolymer, Methylparaben, Sodium Hydroxide, Propylparaben",https://cdn.shopify.com/s/files/1/0602/8132/3620/files/53040A.jpg?v=1714501117,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/53040B.jpg?v=1714501117,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/53040C.jpg?v=1714501117,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/53040D.jpg?v=1714501117,,,,,,,9.35,21.99,0,47,0,47,4,System JO,Gel,Clear,,"Flavored,Water-Based",,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/files/53040A.jpg?v=1714501117,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/53040B.jpg?v=1714501117,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/53040C.jpg?v=1714501117",deny,manual,TRUE,TRUE
53041,796494406625,40662,JO H2O Gel Water-Based Personal Lubricant 8 oz.,"JO H2O Gel Original is our thickest lubricant and has the feel of a water-based lube, but with a thicker, plush texture that stays put wherever itft.s placed. Great for solo and toy play, its sensual, comforting glide and silky-smooth feel are perfect for any intimate moment. And when youft.re done, it cleans off easily and leaves your skin feeling soft and moisturized. Thick, Plush Texture Formulated With Plant-Based Glycerin Easy To Clean Non-Staining Moisturizing & Satisfying Great for Solo or Partner Play Compatible with Most Toys Not Compatible with Polyurethane Condoms Made in the USA FDA Licensed ISO Certified 100% Pleasure Guarantee Ingredients: Water (Aqua), Glycerin, Hydroxyethylcellulose, Acrylates/C10-30 Alkyl Acrylates Crosspolymer, Methylparaben, Sodium Hydroxide, Propylparaben",https://cdn.shopify.com/s/files/1/0602/8132/3620/files/53041A.jpg?v=1714501124,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/53041B.jpg?v=1714501124,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/53041C.jpg?v=1714501124,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/53041D.jpg?v=1714501124,,,,,,,14.02,32.99,0,36,0,36,8,System JO,Gel,Clear,,Water-Based,,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/files/53041A.jpg?v=1714501124,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/53041B.jpg?v=1714501124,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/53041C.jpg?v=1714501124",deny,manual,TRUE,TRUE
54808,657447092237,NSN-1221-13,Sinful Vinyl Ball Gag Black,"Ball gag with stunning midnight black finish features nickel-free anodized hardware, aesthetically striking embossed vinyl, and is lined in soft yet durable neoprene. Measures 7 in. by 3 in. by 2.2 in.",https://cdn.shopify.com/s/files/1/0602/8132/3620/files/54808A.jpg?v=1714502358,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/54808B.jpg?v=1714502358,,,,,,,,,7.25,12.5,0,10,0,10,,NS Novelties,Vinyl,Black,,Gags,,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/files/54808A.jpg?v=1714502358,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/54808B.jpg?v=1714502358,",deny,manual,TRUE,TRUE
54810,657447092251,NSN-1223-13,Sinful Vinyl Wrist Cuffs Black,"Wrist cuffs with stunning midnight black finish feature nickel-free anodized hardware, aesthetically striking embossed vinyl, and are lined in soft yet durable neoprene. Measures 7 in. by 4.75 in. by 2.5 in.",https://cdn.shopify.com/s/files/1/0602/8132/3620/files/54810A.jpg?v=1714502363,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/54810B.jpg?v=1714502363,,,,,,,,,13.05,26.1,0,18,0,18,,NS Novelties,Vinyl,Black,,Restraints,,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/files/54810A.jpg?v=1714502363,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/54810B.jpg?v=1714502363,",deny,manual,TRUE,TRUE
54812,657447092275,NSN-1225-13,Sinful Vinyl Whip Black,"Whip with stunning midnight black finish features nickel-free anodized hardware, aesthetically striking embossed vinyl, and is lined in soft yet durable neoprene. Measures 7 in. by 3 in. by 2.2 in.",https://cdn.shopify.com/s/files/1/0602/8132/3620/files/54812A.jpg?v=1714502366,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/54812B.jpg?v=1714502366,,,,,,,,,10.25,17.7,0,9,0,9,,NS Novelties,Vinyl,Black,,Paddles Whips and Ticklers,,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/files/54812A.jpg?v=1714502366,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/54812B.jpg?v=1714502366,",deny,manual,TRUE,TRUE
